Date	High	Low	Open	Close	Volume	Adj Close	RSI	sell_signal	buy_signal	Current Position	Current Stock Holding	Current Capital
2016-12-12	1108.80	1081.50	1097.40	1104.10	1311758.00	1004.56	46.82	0	0	1	91	0
2016-12-13	1109.00	1091.50	1109.00	1100.15	2147534.00	1000.96	45.78	0	0	1	91	0
2016-12-14	1112.35	1094.50	1107.00	1103.80	1870366.00	1004.28	46.96	0	0	1	91	0
2016-12-15	1136.05	1101.00	1101.00	1129.65	4295410.00	1027.80	54.49	0	0	1	91	0
2016-12-16	1145.00	1126.00	1138.50	1141.32	1987230.00	1038.43	57.43	0	0	1	91	0
2016-12-19	1148.85	1130.65	1140.00	1144.45	1334210.00	1041.27	58.21	0	0	1	91	0
2016-12-20	1172.50	1143.53	1146.00	1169.65	2922760.00	1064.20	63.93	0	0	1	91	0
2016-12-21	1171.90	1152.80	1171.90	1156.80	2034902.00	1052.51	59.46	0	0	1	91	0
2016-12-22	1162.50	1143.10	1153.00	1153.85	1868300.00	1049.82	58.45	0	0	1	91	0
2016-12-23	1158.88	1139.40	1150.00	1144.05	1118954.00	1040.90	55.10	0	0	1	91	0
2016-12-26	1150.80	1133.00	1133.00	1146.55	897408.00	1043.18	55.79	0	0	1	91	0
2016-12-27	1165.00	1140.75	1140.75	1161.70	1294692.00	1056.96	59.86	0	0	1	91	0
2016-12-28	1174.95	1151.57	1163.35	1156.70	1350418.00	1052.41	57.96	0	0	1	91	0
2016-12-29	1179.95	1151.50	1151.50	1175.85	1963516.00	1069.84	62.81	0	0	1	91	0
2016-12-30	1189.30	1172.82	1177.45	1182.78	1405748.00	1076.14	64.41	0	0	1	91	0
2017-01-02	1187.55	1176.20	1183.30	1180.68	823132.00	1074.23	63.52	0	0	1	91	0
2017-01-03	1185.85	1171.65	1180.62	1184.12	1475324.00	1077.37	64.39	0	0	1	91	0
2017-01-04	1194.43	1179.15	1184.85	1189.75	1420066.00	1082.48	65.83	0	0	1	91	0
2017-01-05	1194.97	1160.20	1192.00	1167.20	2216404.00	1061.97	56.07	0	0	1	91	0
2017-01-06	1164.68	1128.55	1160.50	1140.70	3009896.00	1037.86	47.21	0	0	1	91	0
2017-01-09	1155.65	1128.50	1137.50	1151.85	1854578.00	1048.00	50.74	0	0	1	91	0
2017-01-10	1164.90	1145.75	1152.00	1157.68	1533914.00	1053.30	52.52	0	0	1	91	0
2017-01-11	1164.80	1140.10	1157.50	1162.20	1931296.00	1057.42	53.92	0	0	1	91	0
2017-01-12	1180.00	1152.00	1162.20	1172.18	2570374.00	1066.49	56.93	0	0	1	91	0
2017-01-13	1178.97	1118.93	1174.00	1124.65	10235580.00	1023.25	42.65	0	0	1	91	0
2017-01-16	1136.95	1114.00	1125.00	1129.28	3364808.00	1027.46	44.12	0	0	1	91	0
2017-01-17	1143.90	1126.40	1127.45	1139.38	3009956.00	1036.65	47.29	0	0	1	91	0
2017-01-18	1149.00	1132.72	1139.00	1147.55	3136574.00	1044.09	49.78	0	0	1	91	0
2017-01-19	1147.57	1141.47	1147.50	1145.50	2251676.00	1042.22	49.15	0	0	1	91	0
2017-01-20	1150.00	1132.50	1143.50	1142.68	2037246.00	1039.65	48.25	0	0	1	91	0
2017-01-23	1156.75	1129.90	1132.50	1153.35	2318546.00	1052.36	51.84	0	0	1	91	0
2017-01-24	1161.50	1145.00	1152.00	1159.18	2282638.00	1057.67	53.73	0	0	1	91	0
2017-01-25	1180.00	1159.03	1161.30	1176.50	4111648.00	1073.48	58.89	0	0	1	91	0
2017-01-27	1189.38	1172.53	1172.53	1178.90	2871658.00	1075.67	59.57	0	0	1	91	0
2017-01-30	1175.97	1159.07	1170.50	1166.45	2577956.00	1064.31	54.58	0	0	1	91	0
2017-01-31	1166.03	1100.03	1160.00	1114.90	4666804.00	1017.28	39.73	0	0	1	91	0
2017-02-01	1119.97	1077.78	1110.00	1083.95	4864152.00	989.04	33.79	0	0	1	91	0
2017-02-02	1109.50	1076.50	1085.03	1103.82	6009482.00	1007.17	40.00	0	0	1	91	0
2017-02-03	1121.50	1095.50	1104.85	1116.28	2153372.00	1018.53	43.56	0	0	1	91	0
2017-02-06	1129.25	1107.47	1129.00	1120.38	2408910.00	1022.27	44.73	0	0	1	91	0
2017-02-07	1126.30	1113.00	1122.00	1122.30	1814638.00	1024.03	45.30	0	0	1	91	0
2017-02-08	1141.30	1122.03	1122.45	1135.47	2212584.00	1036.05	49.17	0	0	1	91	0
2017-02-09	1164.00	1135.10	1137.50	1158.65	4033202.00	1057.20	55.18	0	0	1	91	0
2017-02-10	1212.22	1155.50	1155.50	1198.97	5782160.00	1093.99	63.31	0	0	1	91	0
2017-02-13	1214.50	1191.18	1198.00	1207.12	3819812.00	1101.43	64.71	0	0	1	91	0
2017-02-14	1209.82	1199.00	1209.82	1203.12	2033328.00	1097.78	63.43	0	0	1	91	0
2017-02-15	1214.00	1187.55	1198.50	1206.85	1924972.00	1101.18	64.14	0	0	1	91	0
2017-02-16	1239.00	1217.80	1230.00	1223.88	4175680.00	1116.71	67.26	0	0	1	91	0
2017-02-17	1237.80	1201.00	1236.00	1203.95	2723324.00	1098.53	60.61	0	0	1	91	0
2017-02-20	1277.50	1204.05	1212.50	1251.10	3973948.00	1141.55	68.54	0	0	1	91	0
2017-02-21	1262.95	1227.57	1257.00	1232.68	5501112.00	1124.74	63.19	0	0	1	91	0
